word,english,frequency
utföra,perform,2347
låsa,lock,2347
miami,Miami,2346
gatorna,the streets,2345
idén,the idea,2342
johnson,Johnson,2342
söner,sons,2341
insidan,the inside,2340
steven,steven,2340
spöke,ghost,2340
jagade,chased,2339
gevär,rifle,2339
skapat,created,2339
svartsjuk,jealous,2338
bränna,burn,2338
medlem,member,2337
gården,the farm,2336
allas,everyone's,2336
varnade,warned,2331
täcker,covers,2330
granne,neighbor,2329
seriöst,seriously,2329
fotboll,football,2329
behövt,needed,2324
fryser,freezes,2324
nate,nate,2322
afrika,Africa,2322
läge,location,2321
dyka,dive,2321
nåväl,Well,2321
misstänkte,suspected,2320
beth,beth,2319
senator,senator,2319
hotar,threatens,2318
bitar,pieces,2315
typiskt,typically,2313
rättigheter,rights,2311
regel,rule,2311
island,Iceland,2311
lurar,lurking,2310
norrut,to the north,2310
strålande,beaming,2308
slyna,slut,2307
trappan,the stairs,2307
koncentrera,concentrate,2306
öron,ears,2304
oskuld,innocence,2303
medveten,aware,2300
bekräfta,confirm,2299
kraften,the power,2297
hårda,hard,2297
bevisen,the evidence,2296
fantasi,fantasy,2296
mördades,was murdered,2296
grönt,green,2295
döma,judge,2295
sålt,sold,2293
stinker,stinks,2293
byxorna,the pants,2292
marknaden,the market,2292
trycka,press,2289
privata,private,2287
earl,earl,2287
am,a.m,2285
innehåller,contains,2285
utbildning,training,2284
albert,Albert,2282
föda,food,2281
professorn,the professor,2280
verklig,real,2280
häng,hang,2280
slogs,fought,2279
gulligt,cute,2278
höghet,highness,2276
lägret,the camp,2276
femte,fifth,2275
minnet,the memory,2274
personal,staff,2273
litade,trusted,2272
meddelandet,the message,2270
samlar,collects,2270
officiellt,officially,2270
vägar,ways,2268
media,media,2268
ställt,posed,2267
doc,doc,2264
fingrar,fingers,2261
inbrott,burglary,2261
trubbel,trouble,2260
dyrt,expensive,2259
reste,traveled,2258
klippa,cut,2257
tvärtom,on the contrary,2254
tyder,indicates,2254
clay,clay,2252
davis,Davis,2251
g,g,2251
förtjänade,deserved,2250
casey,casey,2248
sally,sally,2248
ordnat,arranged,2248
flottan,the fleet,2248
allra,very,2246
foton,photos,2244
angår,concerns,2244
skyldiga,guilty,2242
kliv,stride,2241
hitåt,this way,2241
följt,followed,2240
antal,number,2239
charlotte,Charlotte,2239
brutit,broken,2238
wilson,wilson,2237
vakterna,the guards,2236
däck,deck,2234
spelare,player,2232
ost,cheese,2231
rebecca,rebecca,2229
förälskad,in love,2228
flygplan,aircraft,2228
vikt,weight,2227
klänningen,the dress,2225
katie,Katie,2224
restaurangen,the restaurant,2223
h,h,2221
kännas,feel,2220
raka,straight,2219
tvungna,forced,2217
katten,the cat,2217
linje,line,2217
fångade,caught,2214
vincent,vincent,2211
miljarder,billions,2211
tänderna,the teeth,2210
vädret,the weather,2210
försiktiga,careful,2209
röster,voices,2209
försvar,defense,2208
rida,ride,2208
kvittar,settles,2207
förbereda,prepare,2206
hjälpen,the help,2206
verk,work,2206
faster,aunt,2206
låten,the song,2206
svensk,Swedish,2205
berlin,berlin,2205
sårad,wounded,2202
otur,bad luck,2198
kamp,struggle,2197
naturen,nature,2196
motiv,motive,2196
oscar,Oscar,2195
behåller,keeps,2194
arslet,the ass,2194
junior,junior,2193
firar,celebrating,2193
förrädare,betrayer,2193
mamman,the mother,2192
biljetter,tickets,2192
jakt,hunting,2192
njut,enjoy,2192
yeah,yeah,2192
kommissarien,the commissioner,2190
cent,cent,2188
dubbelt,twice,2188
test,Test,2187
ler,smiles,2186
arbetat,worked,2185
rättegång,trial,2184
avsnitt,section,2182
förbered,prepare,2181
häxa,witch,2180
möt,meet,2179
kommendör,commander,2178
carol,carol,2178
påminna,remind,2178
storlek,size,2178
ovanför,above,2178
beteende,behavior,2178
florida,Florida,2177
skam,shame,2175
motorn,the engine,2174
hårdare,harder,2174
läskigt,scary,2172
signalen,the signal,2171
berget,the mountain,2170
skumt,shady,2170
lovat,promised,2168
parker,parks,2167
brände,burned,2166
meddelanden,messages,2163
jobbig,tough,2163
todd,todd,2162
grav,grave,2160
maste,mast,2159
utnyttja,use,2158
samhället,society,2158
framgång,success,2157
inklusive,including,2157
närvaro,presence,2157
björn,bear,2155
lyckligt,happily,2155
ryssland,Russia,2153
kulan,the bullet,2151
äventyr,adventure,2149
hurså,how so,2147
nacken,the neck,2147
mors,mother's,2146
star,Star,2144
gudarna,the gods,2143
orsaken,the reason,2143
nycklar,keys,2141
berättelse,story,2140
öka,increase,2140
dåre,fool,2140
villkor,terms,2140
rån,robbery,2139
silver,silver,2138
anställda,employees,2136
räcka,hand,2136
hud,skin,2135
satsa,invest,2135
linjen,the line,2135
bete,bait,2134
showen,the show,2133
strömmen,the current,2133
post,mail,2133
borgmästaren,the mayor,2132
trädet,the tree,2132
helg,weekend,2131
ton,tone,2131
ingår,is included,2129
imponerad,impressed,2128
läger,camp,2127
möjliga,possible,2127
stolen,the chair,2127
barnbarn,grandchild,2126
ansvaret,the responsibility,2126
cell,cell,2125
noll,zero,2125
trycker,presses,2124
bio,cinema,2123
randy,randy,2123
speciella,special,2122
slängde,threw away,2121
morden,the murders,2121
andras,others',2119
serena,serene,2118
värdelös,Useless,2118
nä,no,2117
förtroende,confidence,2117
kontakter,contacts,2117
skräp,debris,2117
klubb,club,2116
experiment,experiment,2116
september,September,2116
bakåt,backwards,2115
kontanter,cash,2114
amerikaner,Americans,2114
kända,known,2114
emellan,between,2113
åklagaren,the prosecutor,2113
sött,cute,2112
alkohol,alcohol,2112
kokain,cocaine,2111
klättra,climb,2110
forskning,research,2109
trist,sad,2104
hissen,the elevator,2103
tål,endure,2103
motstånd,resistance,2102
stilig,stylish,2102
skjutit,shot,2100
grant,grant,2099
expert,expert,2098
läxa,lesson,2097
betty,Betty,2097
hinna,catch up,2096
pojk,boy,2094
borgmästare,mayor,2093
hörni,corner,2093
katastrof,disaster,2091
rösta,vote,2090
lyfta,lift,2089
tjänare,servant,2088
extremt,extremely,2088
bränner,burns,2087
myndigheterna,authorities,2087
används,is used,2087
föräldrarna,the parents,2086
fula,ugly,2086
ursäktar,excuses,2085
jess,jeez,2084
bevisar,proves,2084
koden,the code,2082
stått,stood,2081
snubben,the dude,2079
förstärkning,strengthening,2078
finger,finger,2077
nancy,nancy,2077
rösten,the voice,2076
ellen,Ellen,2075
regering,government,2074
ilska,anger,2073
förhindra,prevent,2070
vilar,resting,2070
sänder,transmits,2069
idioten,the idiot,2068
främling,stranger,2068
agera,act,2068
subba,sub,2067
stängde,closed,2067
hemifrån,from home,2067
räddat,saved,2066
bitch,bitch,2065
misslyckades,failed,2064
allison,allison,2063
förändring,change,2063
tomma,empty,2060
jennifer,Jennifer,2060
ledtråd,clue,2059
möjligheter,facilities,2057
uh,ugh,2055
buss,bus,2053
liz,liz,2053
bryt,break,2052
orsakade,caused,2052
näsa,nose,2052
bebis,baby,2050
längtar,yearning,2050
offra,sacrifice,2050
norra,northern,2048
vilda,wild,2047
bauer,Bauer,2047
blunda,close your eyes,2046
underligt,strangely,2045
högra,right,2044
artikel,article,2044
planerade,planned,2043
harold,Harold,2043
besegra,defeat,2043
tomten,the plot,2042
piller,pill,2039
hålet,the hole,2039
framsteg,progress,2036
mörk,dark,2035
andetag,breath,2035
normala,normal,2035
ytan,the surface,2034
södra,southern,2034
teamet,the team,2033
rymma,accommodate,2030
nämna,mention,2030
pappan,the father,2029
carlos,Carlos,2027
politik,policy,2027
kund,customer,2025
ökar,increases,2023
berg,mountain,2022
ö,island,2022
biten,the bit,2021
pang,bang,2019
måla,paint,2019
torsdag,Thursday,2018
viruset,the virus,2018
torka,dry,2017
marshall,Marshall,2017
ande,Spirit,2016
grön,Green,2016
trasig,broken,2015
identitet,identity,2013
kram,hug,2013
spänn,buckle,2011
sons,son's,2011
krav,claim,2010
magiska,magical,2010
dörrarna,the doors,2010
hindrar,hinders,2010
kaos,CHAOS,2010
misstänker,suspect,2009
inlåst,locked up,2009
enhet,unit,2008
ladda,charge,2008
slita,tear,2007
befria,free,2007
palmer,palm trees,2006
skämta,joke,2006
knark,dope,2005
foten,the foot,2004
feta,fat,2004
hall,hall,2004
värde,value,2003
klädd,dressed,2002
vittna,testify,2002
kämpade,struggled,2001
blanda,mix,2000
evighet,eternity,1999
forskare,researcher,1999
sophie,sophie,1999
sjutton,seventeen,1998
zoe,zoe,1998
dygnet,the day,1996
spion,spy,1992
farsan,the father,1991
jacka,jacket,1991
föremål,subject,1990
åter,re,1990
kyrka,Church,1988
videon,the video,1987
japan,Japanese,1987
femton,Fifteen,1987
slösa,waste,1986
kaptenen,the captain,1985
gjord,made,1985
jodå,yes,1985
spanska,Spanish,1984
roman,novel,1983
enklare,simpler,1983
blair,blair,1982
erik,Erik,1981
white,white,1980
krossade,crushed,1980
stephen,Stephen,1978
ögonblicket,the moment,1976
chffffff,chffffff,1975
sorgligt,sad,1974
elliot,elliot,1973
främmande,foreign,1972
gripen,caught,1972
härlig,lovely,1972
socker,sugar,1971
avslöjar,reveals,1971
megan,Megan,1971
gömt,hidden,1970
känslig,sensitive,1969
teknik,technique,1968
kunskap,knowledge,1967
avtalet,the agreement,1966
angela,Angel,1965
förste,First,1964
läcker,delicious,1962
tröja,sweater,1962
herrejävlar,damn it,1962
kontrollerar,controls,1960
mänskligheten,humanity,1960
viset,wise,1959
harvey,harvey,1958
lou,lou,1958
jonathan,Jonathan,1958
tips,tip,1958
jisses,gosh,1957
pröva,try,1956
förlåtelse,forgiveness,1953
lidande,suffering,1953
mm,etc,1953
sömn,sleep,1952
hat,hatred,1950
hollywood,hollywood,1949
flaskan,the bottle,1947
stolta,proud,1947
garaget,the garage,1945
lana,lana,1944
skatt,tax,1943
offren,the victims,1943
älskare,lover,1943
lincoln,lincoln,1942
lojalitet,loyalty,1942
tungt,heavy,1941
dokument,document,1941
rykten,rumours,1940
sök,search,1940
kvart,quarter,1939
brudar,brides,1939
boston,Boston,1938
värst,worst,1937
rymde,escaped,1936
stormen,the storm,1935
suga,suck,1935
naturligt,naturally,1935
toa,loo,1934
travis,travis,1934
apa,monkey,1934
as,as,1933
kontakten,the contact,1933
gänget,the gang,1931
sovrum,bedroom,1931
skilja,distinguish,1931
koppling,coupling,1930
nye,new,1928
material,material,1928
studera,study,1928
jude,jew,1927
byt,switch,1926
tidning,newspaper,1924
tvivel,doubt,1923
lokala,local,1922
domstolen,the court,1921
kortet,the card,1919
lätta,lighten up,1919
audrey,audrey,1919
hjärtan,hearts,1919
egendom,property,1918
ägaren,the owner,1916
sheldon,sheldon,1916
förhoppningsvis,hopefully,1916
utbyte,exchange,1916
spegeln,the mirror,1914
elena,Elena,1914
vakta,guard,1913
penna,Pen,1912
säsong,season,1912
fotot,the photo,1910
jeremy,Jeremy,1910
avslutar,finishes,1909
handlingar,documents,1909
jordan,jordan,1909
förändrar,changes,1908
gris,pig,1908
norr,north,1908
sommar,summer,1907
medel,means,1907
kysste,kissed,1907
fördel,advantage,1906
oroliga,worried,1906
grabbarna,the guys,1905
trädgården,the garden,1904
skyddade,protected,1904
juli,July,1903
arga,angry,1902
spöken,ghosts,1901
karta,map,1901
green,green,1901
mcgee,mcgee,1899
korrekt,correctly,1899
sovrummet,the bedroom,1899
stol,chair,1898
besvär,trouble,1897
brad,brad,1896
vakten,the guard,1896
italien,Italy,1895
service,service,1895
bråkar,arguing,1894
själar,souls,1893
usel,wretched,1893
juni,June,1892
inbjudan,invitation,1891
dennis,Dennis,1890
lewis,lewis,1888
korridoren,the corridor,1888
besökte,visited,1887
rider,rides,1887
olja,oil,1886
seth,Seth,1885
fattat,understood,1884
lastbilen,the truck,1882
beställa,order,1881
slänga,throw,1879
halvt,half,1878
stannat,stayed,1877
överenskommelse,agreement,1876
tittat,watched,1875
drömt,dreamed,1875
f,f,1875
blåser,blowing,1874
olivia,Olivia,1874
fattiga,poor,1873
söderut,to the south,1873
check,check,1873
norman,norman,1872
drake,Dragon,1871
rensa,clear,1871
michelle,Michelle,1869
skadat,damaged,1868
stiger,rises,1868
snack,talk,1868
djup,depth,1867
kristus,Christ,1863
stunden,the moment,1863
enkla,simple,1862
påverka,affect,1862
modern,modern,1861
mac,mac,1860
kakor,cookies,1859
skådespelare,actor,1859
maj,May,1857
tillbringa,spend,1856
smarta,smart,1855
olyckan,the accident,1855
tränar,exercising,1854
road,amused,1853
anthony,anthony,1852
kvitt,Quit,1852
barbara,barbara,1850
art,species,1850
kollegor,colleagues,1849
neil,neil,1849
ljugit,lied,1849
kostade,cost,1848
mason,mason,1848
stjärnorna,the stars,1848
möts,meet,1847
betydelse,importance,1847
dragit,drawn,1847
fran,from,1847
anta,adopt,1845
tung,heavy,1845
godmorgon,good morning,1845
julen,Christmas,1845
grann,neighbor,1844
right,right,1844
skiljer,differs,1843
tillhörde,belonged to,1843
attjag,attatch,1842
vince,Vince,1842
vansinne,madness,1841
tron,throne,1841
delade,shared,1841
användas,be used,1839
gränser,borders,1839
salt,salt,1838
hals,neck,1838
video,video,1837
halvår,six months,1837
resultatet,the result,1836
korkad,brainless,1836
storm,storm,1836
rörelse,movement,1835
humor,humor,1834
skrattade,laughed,1833
träning,training,1832
banan,banana,1831
närvarande,present,1831
v,v,1830
bekymmer,concern,1830
kanon,cannon,1829
förbannat,cursed,1829
snett,crooked,1829
williams,williams,1829
martha,Martha,1828
grannar,neighbors,1826
modell,model,1826
rättegången,the trial,1825
ansikten,faces,1825
knipa,fix,1824
skoj,fun,1824
gråt,crying,1824
mådde,was feeling,1823
biljett,ticket,1823
samarbetar,cooperates,1823
jättekul,great fun,1822
teddy,teddy,1822
möjligheten,the opportunity,1821
bensin,petrol,1821
drömmen,the dream,1820
tant,aunt,1820
slöseri,waste,1819
förblir,remains,1819
joseph,Joseph,1819
härinne,in here,1819
at,that,1817
arsle,ass,1817
skugga,shadow,1817
likadana,the same,1815
begick,committed,1814
svärdet,the sword,1813
väckte,woke up,1812
advokater,lawyers,1811
landa,land,1809
press,press,1809
fåglar,birds,1808
fingrarna,the fingers,1807
fången,captive,1807
förlorare,loser,1807
catherine,catherine,1806
intervju,interview,1805
anmäla,Report,1805
dussin,dozen,1804
alibi,alibi,1804
raymond,Raymond,1804
brottsplatsen,the crime scene,1802
folks,folks,1802
beslutet,the decision,1802
testar,testing,1802
virginia,Virginia,1801
judar,Jews,1801
behandling,treatment,1801
uppskatta,estimate,1800
synder,sins,1796
enorma,enormous,1796
fattade,understood,1796
återvände,returned,1795
hoppet,the hope,1794
släng,throw away,1793
amerikan,American,1792
okänd,unknown,1792
stolthet,pride,1792
bluff,bluff,1791
dras,is drawn,1791
logan,logan,1791
bröstet,the chest,1790
miste,lost,1790
utför,perform,1790
stirrar,stares,1790
l.a.,la.,1789
beskriva,describe,1789
förhandla,negotiate,1789
stängd,closed,1788
knullade,fucked,1788
dylan,dylan,1787
patienten,the patient,1787
begravningen,the funeral,1786
tisdag,Tuesday,1786
länder,countries,1786
jävlarna,the bastards,1786
bada,bathe,1785
stötte,bumped,1785
somna,fall asleep,1785
malcolm,malcolm,1785
utrymme,space,1785
överlämna,submit,1784
sikta,aim,1783
julian,Julian,1782
to,two,1781
upprepar,repeats,1781
beväpnad,armed,1780
djuren,the animals,1780
övertala,persuade,1779
dörrar,doors,1778
sverige,Sweden,1778
fartyg,Ship,1778
svaga,weak,1777
förlust,loss,1777
glasögon,glasses,1777
affärerna,the shops,1777
strider,battles,1776
snubbe,dude,1776
slottet,the castle,1776
inblandade,involved,1775
gabriel,gabriel,1774
begrava,bury,1774
skjorta,shirt,1774
hmm,hmm,1772
avdelning,section,1771
årets,of the year,1771
vd,CEO,1770
vinnare,winner,1767
rest,residual,1766
mitch,Mitch,1766
russell,russell,1765
möten,meetings,1765
polarn,the pole,1765
orättvist,unfairly,1764
tvekan,hesitation,1764
alexander,Alexander,1762
göm,hide,1760
förväntade,expected,1760
kamrat,companion,1759
avundsjuk,jealous,1759
vintern,the winter,1758
såra,hurt,1757
skrivbord,desk,1757
blåsa,blow,1757
puss,kiss,1757
blick,look,1756
intresserade,interested,1756
goddag,good day,1756
sparkade,kicked,1755
skojade,joked,1754
hill,hill,1754
sänk,lower,1754
dödas,be killed,1754
connor,conner,1752
följande,following,1752
översten,the colonel,1751
hamnen,the port,1751
hästarna,the horses,1750
bytt,changed,1750
satsar,bets,1749
holly,holly,1749
vanligtvis,usually,1748
begå,commit,1746
skett,happened,1744
armarna,the arms,1743
förgöra,Destroy,1742
civila,civilians,1741
jordens,of the earth,1741
risker,risks,1741
tekniskt,technically,1740
samlas,gather,1740
tänd,lit,1739
stefan,Stefan,1739
demon,demon,1738
orsaka,cause,1737
vänstra,left,1736
diana,Diana,1736
barnvakt,baby-sitter,1736
stenen,the stone,1735
skämmas,be ashamed,1735
skylla,blame,1734
väst,west,1734
styrelsen,the board,1734
kameror,cameras,1733
antog,assumed,1733
bibeln,the bible,1733
attackerade,attacked,1733
enormt,enormously,1733
förbjudet,prohibited,1731
körkort,driving license,1731
reaktion,reaction,1730
princip,principle,1730
tvingas,forced,1730
smartare,smarter,1729
vampyr,vampire,1729
personlig,personal,1729
slaget,the battle,1729
cameron,Cameron,1728
fruktar,fear,1728
medlemmar,members,1728
christian,Christian,1727
förbli,remain,1727
tjänade,served,1727
lillebror,little brother,1726
universitetet,the university,1726
kusten,the coast,1722
plånbok,wallet,1722
afton,Evening,1721
varelser,creatures,1720
olycklig,unhappy,1720
nolla,zero,1717
sort,variety,1716
river,tear,1716
gryningen,the dawn,1715
sökt,sought,1714
francis,Francis,1714
utnyttjar,exploits,1713
tiger,Tiger,1712
knappen,the button,1712
brittiska,British,1712
elaka,mean,1712
super,super,1712
sebastian,sebastian,1712
kissa,pee,1712
huvudvärk,headache,1711
sonen,the son,1711
främlingar,strangers,1711
orsakar,causes,1710
njuter,enjoying,1710
ämne,subject,1709
skedde,happened,1708
mask,mask,1707
farsa,dad,1706
biblioteket,the library,1705
vagnen,the cart,1705
proffs,pro,1704
las,read,1704
sjöng,sang,1704
generalen,the general,1704
monica,monica,1702
kaffet,the coffee,1702
kent,kent,1702
öh,uh,1701
lager,stock,1701
ty,for,1700
slump,chance,1700
rulla,roll,1700
poolen,the pool,1700
avstängd,switched off,1698
övertygad,convinced,1698
lyda,obey,1698
dick,dick,1697
sliter,toils,1697
sköts,was shot,1696
phoebe,phoebe,1696
sparkar,kicks,1696
moder,mother,1695
lastbil,truck,1695
francisco,Francisco,1695
dröjer,lingers,1694
tak,ceiling,1693
caroline,caroline,1693
rejält,seriously,1692
penis,penis,1692
överlevande,survivor,1692
tina,thaw,1692
gällde,applied,1691
militär,military,1690
resurser,resources,1690
längesen,a long time ago,1688
förbannelse,curse,1687
mött,met,1687
spanien,Spain,1687
oerhört,incredibly,1686
väcker,wakes up,1686
satans,damn it,1686
befäl,command,1685
grand,grand,1685
öva,practice,1685
juryn,the jury,1685
butiken,the store,1684
slösar,wastes,1683
ägde,owned,1683
lyssnat,listened,1682
nyheten,the news,1681
vampyrer,vampires,1681
ronnie,Ronnie,1678
läppar,lips,1676
räknade,counted,1675
tillåtelse,permission,1674
oktober,October,1673
sänka,lower,1672
kenny,kenny,1672
boll,ball,1671
chock,shock,1671
representerar,represents,1671
version,version,1670
tara,tare,1670
varnar,warns,1670
sårade,wounded,1667
skötte,took care of,1667
ungdomar,young people,1666
byggnad,building,1666
fascinerande,fascinating,1665
indien,India,1664
beundrar,admire,1664
prat,talk,1664
förmögenhet,fortune,1664
mata,feed,1663
snygging,looker,1663
hjältar,heroes,1663
slav,slave,1663
politiska,political,1662
falskt,false,1662
fältet,the field,1662
uniform,uniform,1660
ammunition,ammunition,1660
quinn,quinn,1660
fiskar,fishes,1659
drinkar,drinks,1659
sprider,spreads,1658
begått,committed,1657
ann,etc,1657
lektion,lesson,1657
samband,connection,1656
fs56,fs56,1656
isen,the ice,1655
striden,the battle,1655
beställde,ordered,1655
förtjusande,adorable,1655
återgå,revert,1654
mönster,pattern,1653
oro,concern,1652
smutsiga,dirty,1652
träden,the trees,1652
mörker,darkness,1651
bet,bit,1649
politiker,Politician,1648
tävlingen,the competition,1648
uppleva,experience,1647
stiga,rise,1647
tjänster,services,1647
gus,gus,1645
låser,locks,1645
dexter,dexter,1645
namnen,the names,1644
säkerheten,the security,1644
cm,cm,1643
gottgöra,make amends,1642
damerna,the ladies,1642
muren,the wall,1642
justin,justin,1642
imorse,this morning,1641
soppa,soup,1641
elever,students,1641
förbereder,preparing,1640
ian,ian,1640
varma,warm,1640
slagsmål,fight,1639
drömma,dream,1638
öronen,the ears,1638
trevliga,pleasant,1638
tuttar,tits,1637
advokaten,the lawyer,1637
konto,account,1636
bevara,preserve,1635
b.,b.,1635
story,story,1635
projektet,the project,1634
murphy,murphy,1634
ali,ali,1634
vittnesmål,testimony,1633
säkrare,safer,1632
borgen,bail,1632
allierade,allies,1632
tunneln,the tunnel,1632
födelsedagen,the birthday,1632
nat,night,1631
äh,uh,1631
slutligen,finally,1631
ogillar,dislike,1630
såklart,of course,1629
dödens,of death,1628
axel,axis,1628
sekreterare,Secretary,1626
officer,officer,1625
finn,Finn,1625
räknat,counted,1625
mickey,mickey,1624
besättningen,the crew,1624
besökare,visitors,1623
spendera,spend,1621
stjärnor,stars,1621
natur,nature,1620
et,a,1619
kön,sex,1618
gillat,liked,1618
dana,fashion,1617
gosse,Boy,1617
korta,short,1616
shaw,shaw,1616
one,one,1616
margaret,Margaret,1616
station,station,1615
blicken,the gaze,1615
rövhål,asshole,1614
hamnat,ended up,1614
attacken,the attack,1613
spåren,the tracks,1612
önskade,desired,1612
lediga,free,1611
moskva,Moscow,1611
it,it,1610
rapporter,reports,1610
bröderna,the brothers,1609
tysk,German,1609
jean,jean,1609
prinsessa,princess,1608
start,Start,1607
upprepa,repeat,1606
intill,adjacent,1606
garderoben,the wardrobe,1605
rollen,the role,1605
schysst,nice,1605
livets,of life,1605
me,me,1604
ondska,evil,1604
märka,notice,1604
osäker,uncertain,1602
utifrån,from outside,1602
matchar,matches,1602
vana,habit,1600
cykel,cycle,1600
demoner,demons,1599
enheter,units,1598
piper,beeps,1598
hatten,the hat,1598
geväret,the rifle,1597
mannar,men,1596
jersey,Jersey,1596
lekte,played,1596
pekar,pointing,1596
konstnär,artist,1595
källan,the source,1595
tillåta,allow,1595
flykt,escape,1595
ignorera,ignore,1594
fegis,coward,1594
dale,valley,1594
skilsmässa,divorce,1594
journalist,journalist,1594
manny,Manny,1594
passera,Pass,1593
fadern,the father,1593
täckmantel,cover,1593
verktyg,tool,1593
riley,Riley,1593
paketet,the package,1593
rört,touched,1592
jättefin,great,1592
betyg,rating,1592
läkarna,the doctors,1592
sprida,spread,1591
ralph,ralph,1591
avbryta,interrupt,1591
provet,the sample,1591
annans,another's,1591
brorsan,the brother,1589
klaga,complain,1588
hurra,hurray,1588
ricky,ricky,1587
typer,types,1585
landets,of the country,1584
tvingades,was forced,1584
öra,ear,1584
beväpnade,armed,1583
placera,place,1583
byte,change,1583
städer,cities,1583
singel,single,1583
drev,drive,1583
sjung,sing,1582
falsk,fake,1581
jadå,yes,1580
gullig,cute,1579
nelson,Nelson,1579
heder,honor,1578
ana,hunch,1577
tavlan,the painting,1576
samling,collection,1576
omständigheter,circumstances,1575
plockar,picks,1575
undersöker,investigating,1573
landar,lands,1573
lyfter,lifting,1572
detaljerna,the details,1571
boss,boss,1571
tända,light,1570
låste,locked,1568
minsann,indeed,1568
swedish,Swedish,1568
värda,worth,1568
sol,solar,1568
avgör,decides,1567
kronor,crowns,1567
vårat,ours,1567
sandy,sandy,1566
väck,away,1566
djupare,deeper,1565
välsigne,bless,1565
dotters,daughter's,1565
sno,twist,1565
inatt,tonight,1565
regn,rain,1565
owen,Owen,1565
bryggan,the bridge,1564
siffror,numbers,1563
andel,share,1563
slänger,throws,1562
chanser,chances,1562
avsikt,intention,1562
mia,mia,1562
missförstånd,misunderstanding,1562
paret,the couple,1562
my,my,1562
craig,Craig,1561
pastorn,the pastor,1561
stugan,the cottage,1561
sjunker,sinks,1561
livstid,lifetime,1561
kallades,was called,1560
von,von,1560
skickades,was sent,1560
förstörd,destroyed,1560
pressa,press,1558
därborta,over there,1557
röstar,votes,1557
svaghet,weakness,1556
hajar,sharks,1555
någons,someone's,1555
försäkra,ensure,1554
ordnade,arranged,1554
gångs,once,1554
louise,louise,1553
stulen,stolen,1553
kropparna,the bodies,1553
lånade,borrowed,1552
ständigt,constantly,1552
nuförtiden,these days,1552
öppnas,is opened,1552
samlade,collected,1552
släppt,released,1552
blyg,shy,1552
riktning,direction,1552
tungan,the tongue,1551
wendy,wendy,1551
dygn,day,1551
hundarna,the dogs,1551
guvernören,the governor,1550
warren,warren,1550
rådet,the council,1550
nätter,nights,1548
verksamhet,Operation,1547
varelse,creature,1547
helikopter,helicopter,1547
labb,LAB,1545
huvuden,heads,1545
feber,fever,1544
tjock,thick,1544
medvetslös,unconscious,1543
mördat,murdered,1543
utnyttjade,exploited,1543
belöning,reward,1542
ruth,ruth,1542
dejtar,dating,1542
jakten,the hunt,1542
november,November,1541
soldaterna,the soldiers,1541
kontraktet,the contract,1540
skakar,shakes,1540
virus,virus,1539
gloria,halo,1538
tårar,tears,1537
fickan,the pocket,1537
verklighet,reality,1537
tidpunkt,time,1536
låtsades,pretended,1535
våning,floor,1535
barney,barney,1535
tidningarna,the newspapers,1535
kapitel,chapter,1534
billigt,cheap,1534
paige,paige,1533
lydia,Lydia,1533
törstig,thirsty,1532
slavar,slaves,1532
svor,swore,1531
härnäst,next,1530
mitchell,mitchell,1530
lois,lois,1530
lugnande,soothing,1529
återstår,remains,1528
puls,pulse,1527
tillit,trust,1527
irriterande,annoying,1526
däruppe,up there,1526
isär,apart,1526
masken,the mask,1526
cigaretter,cigarettes,1526
tårta,cake,1525
kristen,Christian,1525
allen,everyone,1524
irak,Iraq,1524
k,k,1524
utsidan,the outside,1523
tidig,early,1523
hett,hot,1522
terapi,therapy,1522
brors,brother's,1521
meningslöst,meaningless,1520
spöa,rod,1520
militären,the military,1520
gård,courtyard,1520
väggarna,the walls,1520
hemligheten,the secret,1520
matthew,matthew,1520
little,little,1519
täck,cover,1518
ditåt,there,1518
medicinen,the medicine,1517
hålls,held,1517
äktenskapet,the marriage,1516
romantiskt,romantic,1516
brand,Fire,1515
sparar,saves,1515
instruktioner,instructions,1512
skärp,belt,1512
händelser,events,1511
brottsling,criminal,1511
posten,the mail,1510
kanin,rabbit,1510
boy,boy,1510
arv,heritage,1510
färgen,the color,1510
trupper,troops,1508
ledtrådar,clues,1508
goa,good,1508
sammy,sammy,1507
frivilligt,voluntarily,1507
upptäcka,discover,1507
kinesiska,Chinese,1507
fångarna,the prisoners,1507
vice,vice,1506
curtis,curtis,1505
nåja,Oh well,1505
måltid,meal,1505
branden,the fire,1504
fasen,the phase,1504
dömd,convicted,1504
vild,wild,1504
ford,Ford,1504
dömer,judges,1504
hungriga,hungry,1501
brinna,burn,1501
vackraste,most beautiful,1501
pastor,pastor,1500
påse,pouch,1500
kanada,Canada,1500
budskap,message,1500
nätterna,the nights,1500
hunnit,have time,1500
ramlade,fell,1500
timmen,the hour,1499
boka,book,1498
tränare,coach,1498
bråkade,argued,1498
rumpa,ass,1498
chase,chase,1498
runda,round,1497
löjlig,ridiculous,1497
bilarna,the cars,1497
enastående,outstanding,1497
skithög,pile of shit,1496
skickas,sent,1496
cigarett,cigarette,1496
noah,noah,1495
överraskad,surprised,1494
hävdar,claims,1494
tröst,comfort,1493
prästen,the priest,1493
tydlig,clear,1493
datorer,computers,1493
pissa,piss,1492
löften,promises,1492
fordon,vehicle,1492
pension,pension,1491
tråkig,boring,1491
on,Wed,1491
ärende,matter,1490
ropar,shouts,1490
vittnet,the witness,1489
intressanta,interesting,1489
